
=== Eye  (BEP ROAS 1.32) ===
"SHOPIFY MTD: pedidos 674 | ATC 2426 (12.3% de sesiones) | ingreso bruto 648,373 MXN | neto 463,278 MXN | AOV 687 MXN"
DESTINO https://alegrestiendamexico.com/pages/puremx -> CLARITY 3d: scroll 44.2% | quickback 33 | dead clicks 13 | rage 0
Nivel conciencia,Ad,Spend USD,Compras,ROAS,BEP,CTR %,CPC USD,CPM USD,Clicks,Link destino,Clarity scroll %,Clarity quickback,Clarity dead clicks,Shopify ATC (prod),Shopify pedidos (prod),Qué está pasando
Nivel conciencia,Ad,Spend USD,Compras,ROAS,BEP,CTR %,CPC USD,CPM USD,Clicks,Link destino,Clarity scroll %,Clarity quickback,Clarity dead clicks,Shopify ATC (prod),Shopify pedidos (prod),Qué está pasando
"-- Desconocido (Unaware) --  (2 ads, $478, 21 compras, ROAS pond 2.0) => GANADOR -> escalar"
Desconocido (Unaware),BATCH U1B AD68,411.28,19,2.09,1.25,5.64,0.18,10.16,2281,https://alegrestiendamexico.com/pages/snoremx,42.5,5,1,512,106,"'Dano al corazon' (miedo salud) -> escalar, top unaware | GANADOR -> escalar"
Desconocido (Unaware),otros 1 ads (<$100),67.03,2,1.47,1.25,,,,,https://alegrestiendamexico.com/pages/snoremx,42.5,5,1,512,106,cola larga del nivel -> Rentable -> mantener
"-- Problema (Problem-aware) --  (3 ads, $235, 11 compras, ROAS pond 1.88) => GANADOR -> escalar"
Problema (Problem-aware),PR1 AD 46,188.43,11,2.34,1.25,7.63,0.22,17.01,845,https://alegrestiendamexico.com/pages/snoremx,42.5,5,1,512,106,"Rendimiento laboral, gana en problema | GANADOR -> escalar"
Problema (Problem-aware),otros 2 ads (<$100),46.11,0,0.0,1.25,,,,,https://alegrestiendamexico.com/pages/snoremx,42.5,5,1,512,106,cola larga del nivel -> Sin conversiones -> APAGAR
"-- Solucion (Solution-aware) --  (3 ads, $571, 19 compras, ROAS pond 1.48) => Rentable -> mantener"
Solucion (Solution-aware),SO3 AD60,262.26,10,1.67,1.25,6.79,0.19,13.22,1347,https://alegrestiendamexico.com/pages/snoremx,42.5,5,1,512,106,Desmontar remedios de nariz | GANADOR -> escalar
Solucion (Solution-aware),SO2 AD 19,221.55,3,0.56,1.25,8.54,0.18,14.94,1266,https://alegrestiendamexico.com/pages/snoremx,42.5,5,1,512,106,"MISMO VSL que AD11 pero pierde -> apagar el ad, no el mensaje | Malo -> apagar"
Solucion (Solution-aware),otros 1 ads (<$100),87.54,6,3.26,1.25,,,,,https://alegrestiendamexico.com/pages/snoremx,42.5,5,1,512,106,cola larga del nivel -> GANADOR -> escalar
"-- Sin clasificar / tests --  (7 ads, $867, 48 compras, ROAS pond 2.43) => GANADOR -> escalar"
Sin clasificar / tests,Video 5 05,469.33,27,2.54,1.25,6.95,0.32,22.53,1447,https://alegrestiendamexico.com/pages/snoremx,42.5,5,1,512,106,Sin clasificar pero gran gasto y rentable; el usuario debe describirlo | GANADOR -> escalar
Sin clasificar / tests,Video 3 05,144.34,9,2.85,1.25,6.59,0.32,21.34,446,https://alegrestiendamexico.com/pages/snoremx,42.5,5,1,512,106,GANADOR -> escalar
Sin clasificar / tests,Video 8 05,113.73,6,2.19,1.25,7.02,0.38,26.97,296,https://alegrestiendamexico.com/pages/snoremx,42.5,5,1,512,106,GANADOR -> escalar
Sin clasificar / tests,otros 4 ads (<$100),139.2,6,1.79,1.25,,,,,https://alegrestiendamexico.com/pages/snoremx,42.5,5,1,512,106,cola larga del nivel -> GANADOR -> escalar
